,title,text,url
34,She put an obscene anti-Trump message on her truck and was arrested. Now she might sue. - The Washington Post,"[Trump was heard on the archival tape saying women let him get away with it because he was “a star., Facebook post as a cut-and-dried attack on Fonseca’s right to free speech., I’m just one person,” she said., A spokesperson for the Rosenberg Police Department, which issued the warrant, said it had not been in touch with the sheriff’s office., Left unanswered: the question of what led to Fonseca being arrested on an unrelated charge by Fort Bend sheriff’s deputies last week.]",https://www.washingtonpost.com/news/politics/wp/2017/11/20/she-put-an-obscene-anti-trump-message-on-her-truck-and-was-arrested-now-she-might-sue/
35,"Jacob Thompson, 9-year-old whose Christmas wish went viral, dies of neuroblastoma - The Washington Post","[“, On Thursday, three days before Jacob died, his family shared a picture of him in his hospital bed wearing a blue Superman T-shirt., ”   , Chemotherapy and radiation had offered little signs of hope.   , There are about 700 new cases every year in the United States.]",https://www.washingtonpost.com/news/to-your-health/wp/2017/11/20/thousands-of-strangers-gave-a-sick-child-an-early-christmas-days-before-thanksgiving-he-died/
36,The Justice Department is suing AT&T to block its $85 billion bid for Time Warner - The Washington Post,"[In a closed-door meeting in Washington earlier this month, antitrust officials told AT&T executives that the acquisition would fail to pass regulatory muster unless the company agreed to spin off some properties, such as either Turner Broadcasting, which owns CNN, or its DirecTV service., Instead, it has preferred to impose enduring conditions on a combined company to make sure it behaves in competitive ways., AT&T said Monday that it has no intention of making any major divestments., “, The administration’s lawsuit seeks to prevent a deal that would combine AT&T — one of the country's largest providers of Internet and subscription television — with Time Warner's enormous library of films, HBO, live TV programming and other content.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/20/the-justice-department-just-sued-att-to-block-its-85-billion-bid-for-time-warner/
38,The Justice Department is suing AT&T to block its $85 billion bid for Time Warner - The Washington Post,"[In a closed-door meeting in Washington earlier this month, antitrust officials told AT&T executives that the acquisition would fail to pass regulatory muster unless the company agreed to spin off some properties, such as either Turner Broadcasting, which owns CNN, or its DirecTV service., Instead, it has preferred to impose enduring conditions on a combined company to make sure it behaves in competitive ways., AT&T said Monday that it has no intention of making any major divestments., “, The administration’s lawsuit seeks to prevent a deal that would combine AT&T — one of the country's largest providers of Internet and subscription television — with Time Warner's enormous library of films, HBO, live TV programming and other content.]",https://www.washingtonpost.com/news/the-switch/wp/2017/11/20/the-justice-department-just-sued-att-to-block-its-85-billion-bid-for-time-warner/?tid=pm_business_pop
39,"Uber signs deal to buy up to 24,000 autonomous vehicles from Volvo - The Washington Post","[Monday’s deal between Uber and Volvo could set the stage for something entirely new: thousands of autonomous vehicles ­ferrying paying customers to their destinations without a human ­operator, the beginning of a ­multibillion-dollar robot revolution that could dramatically reconfigure how people get from one place to another.  , It would be selling cars to a company, We’re moving aggressively,” Jeff Miller, Uber’s head of automotive alliances, said, noting that the company has not decided which cities to begin with., The agreement — which would allow Uber to buy Volvo’s XC90 sport-utility vehicles with autonomous technology from 2019 to 2021, Experts said the partnership between Uber and Volvo probably would spawn partnerships between automakers and Silicon Valley.  ]",https://www.washingtonpost.com/business/economy/uber-signs-deal-to-buy-24000-autonomous-vehicles-from-volvo/2017/11/20/d6038f28-ce2a-11e7-81bc-c55a220c8cbe_story.html?tid=pm_business_pop
40,"House GOP tax plan would fall $1.3 trillion short of paying for itself, study finds - The Washington Post","[The report also said that the economic impact of the tax cuts could be greater if the economy were in a recession, but unemployment is already very low and the economy has shown signs of growing at a faster clip without the tax cuts., The nonpartisan Tax Policy Center is the third outside group to conclude that the bill would add to the deficit, contradicting Republicans’ claim that the bill would effectively pay for itself via a surge in economic growth., (Melina Mara/The Washington Post)  The House Republican tax plan would add $1.3 trillion to the national debt over a decade, even after accounting for new economic growth from the bill, according to a nonpartisan study released Monday., The Penn Wharton Budget Model at the University of Pennsylvania found that the House GOP tax bill would grow the economy by between 0.4 percent and 0.9 percent over 10 years but still lead to a loss in revenue of between $1.470 trillion and $1.697 trillion., These economic benefits would be modest because most tax reductions would accrue to high-income households, who spend a smaller share of any increases in after-tax income than lower-income households,” the Tax Policy Center said.]",https://www.washingtonpost.com/news/business/wp/2017/11/20/house-gop-tax-plan-would-fall-1-3-trillion-short-of-paying-for-itself-study-finds/?tid=pm_business_pop
41,Why ‘Justice League’ failed — and where DC goes from here - The Washington Post,"[The most recent attempt came when, after a shaky performance by “Batman V Superman” last year, executives put DC comics veteran Geoff Johns in charge of the films, pairing him with WB veteran Jon Berg., [‘Justice League’ reviews are in, and they’re as all over the place as the DC movie itself]   , The template?, whose “Wonder Woman” earlier this year was a categorical hit and beloved by tastemakers., The studio was beset by specific problems on the film, not least a personal tragedy for director Zack Snyder that did not allow him to complete the movie in postproduction.]",https://www.washingtonpost.com/news/business/wp/2017/11/20/why-justice-league-failed-and-where-dc-goes-from-here/?tid=pm_business_pop
42,Trump: LaVar Ball ungrateful for his help with UCLA basketball players - The Washington Post,"[Shoplifting is a very big deal in China, as it should be (5-10 years in jail), but not to father LaVar., Think about that one., Donald J. Trump (@realDonaldTrump) November 15, 2017    , I’ve seen a lot worse things happen than a guy taking some glasses., ”]",https://www.washingtonpost.com/news/early-lead/wp/2017/11/18/lavar-ball-says-trump-did-nothing-for-his-son-and-his-ucla-teammates-in-china/?utm_term=.9813c0a27dd6
43,"NFL Week 11: Giants upset Chiefs, Chargers smash Bills; Saints stun Redskins in OT - The Washington Post","[Top story lines | Injury news Fantasy football | ATS betting tips/Picks  A rather lackluster slate of early games ended with one of the biggest surprises of the season for a team that has been in the Super Bowl LII conversation: The one-win New York Giants upset the mighty Kansas City Chiefs, winning 12-9 in overtime., By Sunday, Annie Apple was feeling much better.   , Laughable, ridiculous:, It was pretty close,” Wilson said of the near-fracture Friday., The Buffalo Bills made a surprising move last week, benching Tyrod Taylor and announcing that they’d start rookie Nate Peterman. ]",https://www.washingtonpost.com/news/sports/wp/2017/11/19/nfl-week-11-patriots-raiders-play-in-mexicos-altitude-as-the-playoff-picture-begins-to-shape-up/
44,Jaromir Jagr’s never-ending NHL career fuels a league’s worth of recollections - The Washington Post,"[Jagr’s rookie year, a January 1991 game between Pittsburgh and Calgary., All young, hopeful hockey players watched when Jagr played for the national team, when he played in Russia’s Kontinental Hockey League and of course when he played in the NHL, where Jagr’s legendary career has spanned nine teams and 27 years., ” Niskanen said., He’s 45,” Vrana said., [Trying to send a message, Capitals Coach Barry Trotz scratches rookie Jakub Vrana]   ]",https://www.washingtonpost.com/news/capitals-insider/wp/2017/11/19/jaromir-jagr-never-ending-nhl-career-fuels-a-leagues-worth-of-recollections/
